lon,lat,value,qc_reason,y_pred_oof,residual_oof
120.6,22.03,28.5,,27.115937133794382,1.3840628662056176
120.63,22.03,28.6,,27.21797735805148,1.3820226419485202
120.66,22.03,26.7,,27.25555932676748,-0.5555593267674794
120.69,22.03,27.5,,27.209156164454882,0.29084383554511817
120.72,22.03,28.2,,27.13062573305905,1.069374266940951
120.75,22.03,26.5,,27.659786476822973,-1.1597864768229726
121.44,22.03,27.0,,27.62758367723796,-0.6275836772379613
120.6,22.06,28.7,,27.125998128177727,1.5740018718222721
120.63,22.06,28.6,,27.232830559353676,1.3671694406463253
120.66,22.06,28.1,,27.277295546549414,0.8227044534505872
120.69,22.06,28.1,,27.2462371549958,0.8537628450042014
120.72,22.06,26.9,,27.235825143289585,-0.33582514328958624
120.75,22.06,27.4,,27.572018571042634,-0.17201857104263496
121.41,22.06,26.9,,27.629000993708278,-0.7290009937082793
120.57,22.24,28.3,,26.920775607561318,1.3792243924386831
120.6,22.24,26.2,,27.158756833673458,-0.9587568336734584
120.63,22.24,25.6,,27.319317416482537,-1.7193174164825358
120.66,22.24,26.8,,27.325015053731732,-0.5250150537317317
120.69,22.24,25.9,,27.504737365317805,-1.6047373653178063
120.72,22.24,26.2,,27.56579089143488,-1.3657908914348802
120.75,22.24,27.6,,26.338402006597192,1.261597993402809
120.54,22.27,28.0,,26.70789435524741,1.2921056447525885
120.57,22.27,28.3,,26.825556258807396,1.474443741192605
120.6,22.27,28.2,,27.151453272234296,1.0485467277657037
120.63,22.27,26.9,,27.28872378160291,-0.38872378160291277
120.66,22.27,26.0,,27.395633028325726,-1.3956330283257259
120.69,22.27,24.4,,27.452805663683407,-3.052805663683408
120.72,22.27,28.0,,27.56558823858449,0.43441176141551097
120.75,22.27,28.1,,26.5144157284865,1.5855842715135005
120.54,22.3,27.7,,26.67908103763777,1.0209189623622308
120.57,22.3,25.7,,26.79582292030985,-1.0958229203098497
120.6,22.3,24.8,,27.126904331567847,-2.326904331567846
120.63,22.3,24.4,,27.259684252032915,-2.859684252032917
120.66,22.3,22.2,,27.354663438936996,-5.154663438936996
120.69,22.3,27.3,,27.39636626380816,-0.09636626380816082
120.72,22.3,28.3,,27.48565013718552,0.8143498628144812
120.75,22.3,28.8,,26.559571167407487,2.2404288325925137
120.24,22.33,27.6,,27.344151650682324,0.2558483493176773
120.51,22.33,28.9,,26.14338669721365,2.7566133027863486
120.54,22.33,27.0,,26.390793349121072,0.609206650878928
120.57,22.33,25.4,,26.59534814407262,-1.1953481440726215
120.6,22.33,22.3,,27.09612341432106,-4.796123414321059
120.63,22.33,24.3,,27.220989803605892,-2.9209898036058917
120.66,22.33,24.1,,27.304175488232076,-3.2041754882320745
120.69,22.33,25.8,,27.319430425525056,-1.519430425525055
120.72,22.33,27.3,,27.291828480170064,0.008171519829936358
120.75,22.33,25.2,,26.31611780077025,-1.116117800770251
120.51,22.36,28.5,,26.16805578197823,2.3319442180217713
120.54,22.36,26.8,,26.313484021134546,0.48651597886545517
120.57,22.36,22.1,,26.345995149655813,-4.245995149655812
120.6,22.36,22.1,,26.974127846327978,-4.874127846327976
120.63,22.36,19.3,,27.176461406498532,-7.876461406498532
120.66,22.36,24.4,,27.16808355689693,-2.768083556896933
120.69,22.36,26.4,,27.24997623850666,-0.8499762385066632
120.72,22.36,27.8,,27.29594437269093,0.5040556273090715
120.75,22.36,28.6,,26.136678573391997,2.4633214266080046
120.78,22.36,28.8,,26.018210182704102,2.7817898172958984
120.45,22.39,27.5,,27.04364177245285,0.45635822754714894
120.48,22.39,27.8,,26.28141021688467,1.5185897831153312
120.51,22.39,27.9,,26.16670799061587,1.7332920093841295
120.54,22.39,26.9,,26.1211530771695,0.7788469228304997
120.57,22.39,26.5,,26.26328194503665,0.23671805496335097
120.6,22.39,24.8,,26.763418901607846,-1.9634189016078452
120.63,22.39,18.0,,27.114452370973158,-9.114452370973158
120.66,22.39,23.9,,27.14793411683056,-3.24793411683056
120.69,22.39,25.9,,27.122184900284463,-1.2221849002844642
120.72,22.39,27.0,,27.08297061979272,-0.08297061979272158
120.75,22.39,26.7,,25.255573168571885,1.444426831428114
120.78,22.39,28.7,,25.184274616151413,3.5157253838485865
120.39,22.42,25.3,,26.75589258644539,-1.4558925864453904
120.42,22.42,25.2,,26.81343398621194,-1.6134339862119411
120.45,22.42,26.8,,26.63462947240902,0.16537052759098003
120.48,22.42,27.2,,26.205629292662724,0.994370707337275
120.51,22.42,27.2,,26.13942103082198,1.060578969178021
120.54,22.42,25.3,,26.110226872145546,-0.8102268721455452
120.57,22.42,21.7,,26.142417232403062,-4.442417232403063
120.6,22.42,25.3,,26.291405274164894,-0.9914052741648938
120.63,22.42,24.0,,26.744014358665016,-2.744014358665016
120.66,22.42,19.4,,26.739062400195543,-7.3390624001955445
120.69,22.42,21.9,,26.71508895721441,-4.81508895721441
